 Timestamp,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
11/07/2017 02:34:11,158.85.58.102-10.42.0.42-5222-58550-6,158.85.58.102,5222,10.42.0.42,58550,6,110962396,29,34,680,913,67,0,23.44827586,24.65995338,243,0,26.85294118,59.84430929,14.35621487,0.56775991,1789716.065,5809955.22,2.93E+07,398,1.11E+08,3962868.536,8244350.415,2.93E+07,472,1.11E+08,3357392.121,7686233.634,2.93E+07,2858,1,0,0,0,928,1088,0.2613498,0.30641011,0,243,25.46875,46.38143059,2151.237103,0,1,0,0,1,0,0,0,1,25.87301587,23.44827586,26.85294118,928,0,0,0,0,0,0,29,680,34,913,514,1449,14,32,1151955.167,1544415.833,3141932,6664,1.73E+07,9440360.33,2.93E+07,5266237,1
11/07/2017 02:34:16,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,83969679,6,0,0,0,0,0,0,0,0,0,0,0,0,0.071454364,1.68E+07,2.32E+07,4.65E+07,1656,8.40E+07,1.68E+07,2.32E+07,4.65E+07,1656,0,0,0,0,0,0,0,0,0,0,0,0.071454364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,0,0,63049,86685.63452,124345,1753,4.19E+07,6429946.114,4.65E+07,3.74E+07,1
11/07/2017 02:34:24,172.217.3.106-10.42.0.42-443-56065-6,10.42.0.42,56065,172.217.3.106,443,6,36921,1,1,0,0,0,0,0,0,0,0,0,0,0,54.16971371,36921,0,36921,36921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.08485686,27.08485686,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:25,131.253.61.98-10.42.0.42-443-52065-6,10.42.0.42,52065,131.253.61.98,443,6,512049,8,11,997,11936,613,0,124.625,215.6206573,1448,0,1085.090909,589.9224448,25257.34842,37.10582386,28447.16667,37760.27742,129192,5,459695,65670.71429,73144.02035,181321,15,465699,46569.9,78428.00072,207754,5,0,0,0,0,264,360,15.62350478,21.48231907,0,1448,646.65,669.575771,448331.7132,0,0,0,1,0,0,0,0,1,680.6842105,124.625,1085.090909,264,0,0,0,0,0,0,8,997,11,11936,65535,257,3,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:25,10.42.0.42-65.55.118.92-45362-80-6,10.42.0.42,45362,65.55.118.92,80,6,57980092,3,1,0,0,0,0,0,0,0,0,0,0,0,0.068989197,1.93E+07,3.33E+07,5.78E+07,46194,5.80E+07,2.90E+07,4.08E+07,5.78E+07,165672,0,0,0,0,0,0,0,0,0,104,40,0.051741898,0.017247299,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,65535,4380,0,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:25,131.253.61.98-10.42.0.42-443-52064-6,10.42.0.42,52064,131.253.61.98,443,6,57584620,11,6,566,5643,202,0,51.45454545,88.27724921,1448,0,940.5,705.2193276,107.8239294,0.295217716,3599038.75,1.42E+07,5.67E+07,4,5.76E+07,5758462,1.79E+07,5.67E+07,4,835353,167070.6,208404.8449,509901,12,0,0,0,0,396,200,0.191023228,0.104194488,0,1448,344.9444444,582.0453259,338776.7614,0,0,0,1,0,0,0,0,0,365.2352941,51.45454545,940.5,396,0,0,0,0,0,0,11,566,6,5643,65535,259,3,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:25,10.42.0.42-65.55.118.92-45361-80-6,10.42.0.42,45361,65.55.118.92,80,6,60806333,6,6,796,1646,399,0,132.6666667,205.5272893,1004,0,274.3333333,440.1425527,40.16029054,0.197347865,5527848.455,1.81E+07,6.02E+07,1941,562633,112526.6,96014.63235,199410,1941,6.08E+07,1.22E+07,2.70E+07,6.04E+07,17711,0,0,0,0,200,188,0.098673933,0.098673933,0,1004,187.8461538,326.3778092,106522.4744,0,0,0,1,0,0,0,0,1,203.5,132.6666667,274.3333333,200,0,0,0,0,0,0,6,796,6,1646,65535,5176,2,32,562633,0,562633,562633,6.02E+07,0,6.02E+07,6.02E+07,1
11/07/2017 02:34:26,131.253.61.98-10.42.0.42-443-52065-6,10.42.0.42,52065,131.253.61.98,443,6,9702,4,0,0,0,0,0,0,0,0,0,0,0,0,412.2861266,3234,5181.654273,9214,73,9702,3234,5181.654273,9214,73,0,0,0,0,0,0,0,0,0,128,0,412.2861266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,128,0,0,0,0,0,0,4,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:26,10.42.0.42-77.234.44.200-44935-80-6,10.42.0.42,44935,77.234.44.200,80,6,36877822,8,6,580,313,324,0,72.5,133.6070999,313,0,52.16666667,127.7817149,24.215096,0.379631964,2836755.538,1.02E+07,3.68E+07,5,3.69E+07,5268260.286,1.39E+07,3.68E+07,5,40044,8008.8,17494.64259,39302,9,0,0,0,0,264,200,0.216932551,0.162699413,0,324,59.53333333,123.0016647,15129.40952,0,0,0,1,0,0,0,0,0,63.78571429,72.5,52.16666667,264,0,0,0,0,0,0,8,580,6,313,65535,1,4,32,0,0,0,0,0,0,0,0,1
11/07/2017 02:34:26,172.217.10.36-10.42.0.42-443-42892-6,10.42.0.42,42892,172.217.10.36,443,6,144063,5,5,484,716,458,0,96.8,202.2305615,455,0,143.2,200.246598,8329.689094,69.41407579,16007,26537.51388,77636,12,144063,36015.75,42287.84769,81767,12,64276,16069,19831.95248,40971,26,1,0,0,0,160,160,34.70703789,34.70703789,0,458,150.7272727,208.1403809,43322.41818,0,1,0,0,1,0,0,0,1,165.8,96.8,143.2,160,0,0,0,0,0,0,5,484,5,716,1852,367,1,32,0,0,0,0,0,0,0,0,1
